Inj	tm40	tm30	tm20	tm10	t0	t10	t20	t30	t40	t50	t60	t70
0.001	0.00958	0.0149	0.01333	0.01309	0.00276	-0.0193	-0.02748	-0.01701	-0.02669	-0.000299999999999998	0.00094	-0.000299999999999998
0.001018133	0.00998	0.01335	0.01297	0.00812	0.00414	-0.01666	-0.02733	-0.01689	-0.02711	0.00151	-0.000289999999999999	0.00038
0.001036594	0.01041	0.01384	0.01329	0.00785	0.00103	-0.01786	-0.02794	-0.01651	-0.0262	0.0012	-0.000359999999999999	-0.00107
0.00105539	0.00988	0.017	0.01363	0.00856	0.00163	-0.01707	-0.02712	-0.01686	-0.02579	-0.00113	0.000560000000000001	-0.000619999999999999
0.001074527	0.00863	0.01306	0.01469	0.00893	0.000800000000000002	-0.0196	-0.02777	-0.0186	-0.0245	-0.00217	0.00064	-0.00123
0.001094011	0.00941	0.0149	0.01152	0.0071	0.00495	-0.01734	-0.02866	-0.01689	-0.02525	-2.99999999999988e-05	-0.000949999999999999	-0.00077
0.001113849	0.00874	0.01416	0.01432	0.00781	0.00245	-0.01787	-0.0192	-0.0184	-0.02771	-0.00043	0.00013	-0.00259
0.001134046	0.01084	0.01475	0.01353	0.0093	0.00474	-0.01886	-0.01899	-0.01872	-0.02696	-0.000809999999999998	0.000329999999999999	-0.00446
0.001154609	0.00814	0.0128	0.01427	0.00792	0.00475	-0.01931	-0.01925	-0.01687	-0.02647	0.000390000000000001	0.000979999999999998	-0.00086
0.001175545	0.01015	0.01569	0.00994	0.00863	0.00353	-0.02071	-0.01893	-0.0182	-0.02539	-0.00051	-0.000710000000000002	0.000150000000000001
0.001196861	0.00872	0.01342	0.01071	0.00752	0.00213	-0.01905	-0.02009	-0.0184	-0.02481	-0.000360000000000003	0.000810000000000002	-0.00198
0.001218563	0.0084	0.0136	0.01121	0.00705	0.00235	-0.01724	-0.01872	-0.01844	-0.02489	2.00000000000027e-05	0.000589999999999997	-0.00162
0.001240659	0.01041	0.01428	0.01369	0.00887	0.00285	-0.01539	-0.01955	-0.01748	-0.02907	-0.0012	0.000759999999999997	-8.99999999999998e-05
0.001263155	0.00948	0.01282	0.0131	0.01068	0.00151	-0.01599	-0.02005	-0.01906	-0.02832	-0.00086	-0.00156	-0.00262
0.00128606	0.00888	0.01587	0.01143	0.00846	0.00166	-0.01761	-0.01807	-0.02004	-0.02823	-0.00085	0.000710000000000002	-0.000240000000000001
0.00130938	0.00916	0.01712	0.01226	0.00842	0.00338	-0.01561	-0.0187	-0.01929	-0.02597	-0.00117	0.000389999999999998	0.000639999999999998
0.001333122	0.00893	0.01633	0.01256	0.00646	0.00267	-0.01666	-0.01669	-0.01959	-0.02617	-3.00000000000022e-05	-0.00119	-0.00243
0.001357295	0.00845	0.01434	0.01256	0.00798	0.00258	-0.01946	-0.0182	-0.01814	-0.02612	-0.00173	0.00116	-0.000440000000000003
0.001381906	0.00872	0.01751	0.0112	0.00872	0.00409	-0.01626	-0.01639	-0.01682	-0.02331	-0.000699999999999999	-0.00118	-0.0012
0.001406964	0.00929	0.01432	0.01329	0.01058	0.00328	-0.01681	-0.0182	-0.01643	-0.02484	0.00105	0.00017	-0.00084
0.001432476	0.01035	0.01447	0.01277	0.00781	0.0034	-0.01773	-0.01709	-0.01758	-0.02535	-0.000589999999999997	-0.00544	-0.00094
0.001458451	0.00904	0.01255	0.01347	0.00698	0.000709999999999999	-0.01573	-0.0186	-0.01748	-0.02639	0.000889999999999998	-0.00168	0.00017
